time,consumption,production,day,production1
9:20:00,4375.832816,-3887.419962,Friday,3887.419962
9:25:00,4348.262599,-3889.800334,Friday,3889.800334
9:30:00,4338.395833,-3863.427587,Friday,3863.427587
9:35:00,4364.720733,-3859.928845,Friday,3859.928845
9:40:00,4337.668808,-3862.343841,Friday,3862.343841
9:45:00,4340.737134,-3851.202708,Friday,3851.202708
9:50:00,4311.798167,-3843.842921,Friday,3843.842921
9:55:00,4311.383589,-3836.075944,Friday,3836.075944
10:00:00,4313.009079,-3803.00214,Friday,3803.00214
10:05:00,4387.51586,-3908.258043,Friday,3908.258043
10:10:00,4388.74933,-3871.042408,Friday,3871.042408
10:15:00,4368.598137,-3855.951884,Friday,3855.951884
10:20:00,4401.96232,-3846.520533,Friday,3846.520533
10:25:00,4391.324537,-3828.474972,Friday,3828.474972
10:30:00,4361.92304,-3853.274757,Friday,3853.274757
10:35:00,4399.96751,-3854.490515,Friday,3854.490515
10:40:00,4357.877409,-3851.810778,Friday,3851.810778
10:45:00,4332.120138,-3822.826527,Friday,3822.826527
10:50:00,4286.238266,-3851.410851,Friday,3851.410851
10:55:00,4273.956875,-3842.387217,Friday,3842.387217
11:00:00,4253.564318,-3791.456165,Friday,3791.456165
11:05:00,4338.688984,-3842.100117,Friday,3842.100117
11:10:00,4328.573584,-3845.003397,Friday,3845.003397
11:15:00,4380.973508,-3793.794974,Friday,3793.794974
11:20:00,4369.990747,-3802.523854,Friday,3802.523854
11:25:00,4339.811944,-3793.977858,Friday,3793.977858
11:30:00,4285.495104,-3807.851782,Friday,3807.851782
11:35:00,4286.119818,-3849.766888,Friday,3849.766888
11:45:00,4224.874825,-3854.461954,Friday,3854.461954
11:50:00,4217.12502,-3853.288377,Friday,3853.288377
11:55:00,4197.778821,-3848.311562,Friday,3848.311562
